_u,_v,re(NearEX)[V_per_meter],im(NearEX)[V_per_meter],re(NearEY)[V_per_meter],im(NearEY)[V_per_meter]
0.085,0,0.100684,0.176835,-76.8817,-75.5228
0.09,0,0.155989,0.149278,-90.2325,-48.9711
0.095,0,0.204524,0.0993837,-95.5572,-19.7239
0.1,0,0.236243,0.0285609,-92.0153,9.63511
-0.1,0.005,-0.656176,0.00664473,-91.8103,9.90502
-0.095,0.005,-0.595804,-0.181318,-95.4591,-19.4013
-0.09,0.005,-0.490796,-0.325067,-90.2511,-48.6271
-0.085,0.005,-0.362185,-0.41937,-77.0182,-75.1895
-0.08,0.005,-0.228304,-0.46643,-57.2765,-97.097
-0.075,0.005,-0.103082,-0.473368,-32.9349,-113.076
-0.07,0.005,0.00644451,-0.447284,-6.0207,-122.592
-0.065,0.005,0.0913076,-0.403387,21.6182,-125.729
-0.06,0.005,0.153119,-0.34727,48.3091,-123.116
-0.055,0.005,0.192959,-0.286224,72.8314,-115.73
-0.05,0.005,0.213421,-0.225701,94.3811,-104.734
-0.045,0.005,0.217468,-0.169565,112.584,-91.2989
-0.04,0.005,0.210638,-0.120516,127.441,-76.5851
-0.035,0.005,0.194106,-0.0806793,139.015,-61.5987
-0.03,0.005,0.171356,-0.0503166,147.662,-47.2157
-0.025,0.005,0.145214,-0.0288178,153.839,-34.1355
-0.02,0.005,0.117787,-0.0150335,158.04,-22.8876
-0.015,0.005,0.0905031,-0.00754111,160.738,-13.8519
-0.01,0.005,0.0642071,-0.00483575,162.338,-7.28457
-0.005,0.005,0.0392837,-0.00544988,163.15,-3.34448
0,0.005,0.0157885,-0.00801288,163.367,-2.11538
0.005,0.005,-0.0157704,-0.00468163,163.087,-3.46929
0.01,0.005,-0.0419619,-0.00595131,162.214,-7.52846
0.015,0.005,-0.0681615,-0.0057739,160.549,-14.1853
0.02,0.005,-0.0944177,-0.00296187,157.788,-23.2786
0.025,0.005,-0.120538,0.00374403,153.53,-34.5528
0.03,0.005,-0.145966,0.0156406,147.308,-47.6317
0.035,0.005,-0.169655,0.0339702,138.636,-61.9934
0.04,0.005,-0.189963,0.0597559,127.057,-76.9496
0.045,0.005,-0.204593,0.0935559,112.217,-91.6372
0.05,0.005,-0.210646,0.135146,93.9403,-105.031
0.055,0.005,-0.204134,0.18227,72.2694,-115.931
0.06,0.005,-0.185374,0.232927,47.7093,-123.246
0.065,0.005,-0.149152,0.283817,21.0183,-125.759
0.07,0.005,-0.0936125,0.329204,-6.5745,-122.509
0.075,0.005,-0.0188076,0.361908,-33.4568,-112.889
0.08,0.005,0.0724553,0.373923,-57.7298,-96.8047
0.085,0.005,0.173931,0.357504,-77.3761,-74.8119
0.09,0.005,0.275669,0.306688,-90.4941,-48.1931
0.095,0.005,0.364432,0.219119,-95.5784,-18.9459
0.1,0.005,0.425025,0.097854,-91.8097,10.3456
-0.1,0.01,-0.845225,-0.0423087,-91.107,12.0896
-0.095,0.01,-0.761248,-0.281034,-95.4496,-16.973
-0.09,0.01,-0.620994,-0.463816,-90.9824,-46.1711
-0.085,0.01,-0.450533,-0.583662,-78.47,-72.9166
-0.08,0.01,-0.272959,-0.642808,-59.3713,-95.1925
-0.075,0.01,-0.106199,-0.649788,-35.5533,-111.686
-0.07,0.01,0.0390842,-0.614802,-9.01501,-121.811
-0.065,0.01,0.153738,-0.554033,18.3919,-125.609
-0.06,0.01,0.237406,-0.476776,44.9999,-123.67
-0.055,0.01,0.291191,-0.3929,69.5721,-116.933
-0.05,0.01,0.318338,-0.309986,91.2808,-106.532
-0.045,0.01,0.323299,-0.233493,109.723,-93.6254
-0.04,0.01,0.311496,-0.167115,124.859,-79.3578
-0.035,0.01,0.286213,-0.113458,136.739,-64.7411
-0.03,0.01,0.251962,-0.0729019,145.695,-50.6539
-0.025,0.01,0.212419,-0.0446554,152.166,-37.8018
-0.02,0.01,0.170338,-0.0271712,156.629,-26.7224
-0.015,0.01,0.1276,-0.0184774,159.545,-17.804
-0.01,0.01,0.0853313,-0.0164208,161.311,-11.3109
-0.005,0.01,0.0440674,-0.0188226,162.23,-7.40851
0,0.01,0.00393549,-0.0235642,162.491,-6.18486
0.005,0.01,-0.0409337,-0.0250118,162.173,-7.5129
0.01,0.01,-0.0838841,-0.0272274,161.204,-11.5304
0.015,0.01,-0.126767,-0.0261354,159.384,-18.1116
0.02,0.01,-0.169373,-0.0198516,156.413,-27.0887
0.025,0.01,-0.21108,-0.00650315,151.899,-38.1977
0.03,0.01,-0.250705,0.0156903,145.389,-51.0537
0.035,0.01,-0.286364,0.0482633,136.409,-65.1259
0.04,0.01,-0.315383,0.0922658,124.525,-79.7192
0.045,0.01,-0.33429,0.147936,109.403,-93.9671
0.05,0.01,-0.338943,0.214306,90.8947,-106.846
0.055,0.01,-0.324125,0.288476,69.0701,-117.174
0.06,0.01,-0.288988,0.365648,44.4503,-123.848
0.065,0.01,-0.228023,0.44057,17.8284,-125.693
0.07,0.01,-0.139606,0.504846,-9.55026,-121.783
0.075,0.01,-0.0248914,0.548482,-36.0676,-111.554
0.08,0.01,0.111196,0.560805,-59.8328,-94.9568
0.085,0.01,0.259242,0.531923,-78.8521,-72.5924
0.09,0.01,0.405189,0.454688,-91.2645,-45.782
0.095,0.01,0.531032,0.326939,-95.6196,-16.5487
0.1,0.01,0.616626,0.153656,-91.1641,12.5166
-0.1,0.015,-1.03313,-0.0656552,-89.8529,15.6744
-0.095,0.015,-0.93303,-0.356593,-95.3301,-12.9554
-0.09,0.015,-0.763701,-0.581819,-92.085,-42.0742
-0.085,0.015,-0.55587,-0.731886,-80.7709,-69.0881
-0.08,0.015,-0.337293,-0.80837,-62.7517,-91.9407
-0.075,0.015,-0.130017,-0.820619,-39.8238,-109.257
-0.07,0.015,0.0515222,-0.781382,-13.941,-120.373
-0.065,0.015,0.197324,-0.707746,13.0532,-125.258
-0.06,0.015,0.304939,-0.612449,39.4926,-124.43
-0.055,0.015,0.37516,-0.507888,64.1146,-118.766
-0.05,0.015,0.411598,-0.403817,86.0533,-109.357
-0.045,0.015,0.419881,-0.307827,104.856,-97.3283
-0.04,0.015,0.405503,-0.223878,120.432,-83.817
-0.035,0.015,0.373486,-0.155589,132.799,-69.8299
-0.03,0.015,0.329326,-0.10361,142.25,-56.2494
-0.025,0.015,0.277551,-0.0671035,149.191,-43.7906
-0.02,0.015,0.221604,-0.0442324,154.074,-33.0044
-0.015,0.015,0.16388,-0.0325574,157.338,-24.2933
-0.01,0.015,0.105867,-0.029333,159.365,-17.9343
-0.005,0.015,0.0483372,-0.0317055,160.448,-14.1036
0,0.015,-0.0084217,-0.0368304,160.77,-12.896
0.005,0.015,-0.0677201,-0.0401348,160.403,-14.1894
0.01,0.015,-0.127225,-0.0415339,159.278,-18.13
0.015,0.015,-0.186378,-0.0378035,157.204,-24.5745
0.02,0.015,-0.244637,-0.0263943,153.891,-33.3447
0.025,0.015,-0.300887,-0.00487116,148.962,-44.163
0.03,0.015,-0.353265,0.0289546,141.984,-56.63
0.035,0.015,-0.399024,0.076809,132.51,-70.2012
0.04,0.015,-0.434461,0.139643,120.137,-84.1706
0.045,0.015,-0.454974,0.217233,104.573,-97.6672
0.05,0.015,-0.455287,0.307712,85.7074,-109.671
0.055,0.015,-0.42904,0.406882,63.6636,-119.024
0.06,0.015,-0.37472,0.508131,38.9896,-124.63
0.065,0.015,-0.28664,0.603693,12.5283,-125.371
0.07,0.015,-0.163725,0.682578,-14.4498,-120.38
0.075,0.015,-0.00856475,0.732156,-40.3199,-109.164
0.08,0.015,0.171497,0.739389,-63.2069,-91.7484
0.085,0.015,0.363666,0.69268,-81.16,-68.8084
0.09,0.015,0.549699,0.584237,-92.3877,-41.7264
0.095,0.015,0.706948,0.412699,-95.5333,-12.5646
0.1,0.015,0.810676,0.185564,-89.9525,16.0805
-0.1,0.02,-1.21905,-0.0537408,-87.8893,20.5585
-0.095,0.02,-1.11312,-0.398561,-94.9079,-7.40031
-0.09,0.02,-0.923368,-0.670644,-93.3476,-36.3304
-0.085,0.02,-0.6846,-0.857181,-83.708,-63.6369
-0.08,0.02,-0.429043,-0.958163,-67.2195,-87.2157
-0.075,0.02,-0.18298,-0.982932,-45.5768,-105.61
-0.07,0.02,0.0352228,-0.946001,-20.6686,-118.056
-0.065,0.02,0.213879,-0.865223,5.68424,-124.417
-0.06,0.02,0.348227,-0.756391,31.817,-125.114
-0.055,0.02,0.438285,-0.634332,56.4352,-120.939
-0.05,0.02,0.487632,-0.511011,78.6231,-112.917
-0.045,0.02,0.502612,-0.396675,97.8653,-102.126
-0.04,0.02,0.488982,-0.294946,113.999,-89.6927
-0.035,0.02,0.453066,-0.211004,126.996,-76.6102
-0.03,0.02,0.401272,-0.14597,137.097,-63.7641
-0.025,0.02,0.338979,-0.0991392,144.662,-51.8811
-0.02,0.02,0.270367,-0.0685326,150.104,-41.5288
-0.015,0.02,0.19843,-0.0513565,153.832,-33.1279
-0.01,0.02,0.125121,-0.0443545,156.206,-26.9729
-0.005,0.02,0.0515696,-0.0440538,157.505,-23.2539
0,0.02,-0.0216531,-0.0469215,157.903,-22.0748
0.005,0.02,-0.0962928,-0.0486253,157.469,-23.3241
0.01,0.02,-0.17192,-0.0466095,156.134,-27.1459
0.015,0.02,-0.24662,-0.0377201,153.718,-33.3823
0.02,0.02,-0.319412,-0.0187979,149.946,-41.8408
0.025,0.02,-0.388598,0.0130725,144.463,-52.2266
0.03,0.02,-0.451572,0.060375,136.863,-64.121
0.035,0.02,-0.504692,0.124881,126.739,-76.9621
0.04,0.02,-0.543249,0.207267,113.733,-90.0315
0.045,0.02,-0.561594,0.306649,97.6055,-102.454
0.05,0.02,-0.553478,0.42007,78.3073,-113.218
0.055,0.02,-0.511656,0.541492,56.0263,-121.196
0.06,0.02,-0.434353,0.663123,31.3558,-125.318
0.065,0.02,-0.316058,0.774315,5.19778,-124.54
0.07,0.02,-0.156689,0.861609,-21.1467,-118.081
0.075,0.02,0.0392756,0.910019,-46.0479,-105.542
0.08,0.02,0.261687,0.904604,-67.6584,-87.0549
0.085,0.02,0.494107,0.832686,-84.0917,-63.3931
0.09,0.02,0.714056,0.686597,-93.6571,-36.0193
0.095,0.02,0.894463,0.466604,-95.1304,-7.04236
0.1,0.02,1.00655,0.183518,-88.0188,20.9402
-0.1,0.025,-1.39951,0.00247087,-85.0095,26.5858
-0.095,0.025,-1.30085,-0.397329,-93.924,-0.4
-0.09,0.025,-1.10201,-0.720961,-94.4794,-28.9548
-0.085,0.025,-0.84107,-0.951204,-86.9815,-56.4949
-0.08,0.025,-0.554376,-1.08534,-72.4882,-80.8664
-0.075,0.025,-0.272488,-1.13166,-52.5593,-100.518
-0.07,0.025,-0.0178524,-1.10545,-28.9941,-114.565
-0.065,0.025,0.195248,-1.02503,-3.57321,-122.741
-0.06,0.025,0.359419,-0.908723,22.0457,-125.34
-0.055,0.025,0.473336,-0.773621,46.5347,-123.047
-0.05,0.025,0.540029,-0.633894,68.9206,-116.799
-0.045,0.025,0.565913,-0.502799,88.6144,-107.615
-0.04,0.025,0.557239,-0.383385,105.365,-96.5922
-0.035,0.025,0.521107,-0.282807,119.085,-84.7064
-0.03,0.025,0.464731,-0.202894,129.948,-72.8426
-0.025,0.025,0.394319,-0.143296,138.252,-61.7389
-0.02,0.025,0.31483,-0.102081,144.362,-51.9809
-0.015,0.025,0.229949,-0.0762483,148.648,-44.0105
-0.01,0.025,0.14222,-0.0621453,151.442,-38.1424
-0.005,0.025,0.0532743,-0.0557633,153,-34.5831
0,0.025,-0.0358801,-0.0529451,153.489,-33.4475
0.005,0.025,-0.126166,-0.0490229,152.971,-34.6408
0.01,0.025,-0.21705,-0.0402341,151.38,-38.2937
0.015,0.025,-0.306067,-0.0229675,148.55,-44.2371
0.02,0.025,-0.39167,0.00645803,144.224,-52.262
0.025,0.025,-0.471473,0.0513198,138.075,-62.053
0.03,0.025,-0.542059,0.114242,129.737,-73.17
0.035,0.025,-0.598873,0.196851,118.852,-85.032
0.04,0.025,-0.636248,0.299327,105.12,-96.9081
0.045,0.025,-0.647624,0.419893,88.3711,-107.923
0.05,0.025,-0.626011,0.554268,68.6291,-117.08
0.055,0.025,-0.563739,0.694203,46.1609,-123.293
0.06,0.025,-0.459037,0.831018,21.6222,-125.535
0.065,0.025,-0.307166,0.951051,-4.02223,-122.861
0.07,0.025,-0.1096,1.03859,-29.4395,-114.596
0.075,0.025,0.12677,1.0767,-53.0017,-100.465
0.08,0.025,0.388549,1.04918,-72.9049,-80.7284
0.085,0.025,0.655405,0.943095,-87.352,-56.2799
0.09,0.025,0.900648,0.751875,-94.787,-28.6755
0.095,0.025,1.09316,0.478438,-94.1565,-0.0726211
0.1,0.025,1.20091,0.137837,-85.16,26.9431
-0.1,0.03,-1.56779,0.110869,-80.9756,33.5327
-0.095,0.03,-1.49213,-0.343421,-92.0663,7.89444
-0.09,0.03,-1.29837,-0.722627,-95.1182,-20.0063
-0.085,0.03,-1.02675,-1.00399,-90.2064,-47.6178
-0.08,0.03,-0.717145,-1.18082,-78.1781,-72.7434
-0.075,0.03,-0.404277,-1.25911,-60.4226,-93.7316
-0.07,0.03,-0.114764,-1.25372,-38.6217,-109.562
-0.065,0.03,0.133637,-1.18293,-14.4933,-119.818
-0.06,0.03,0.330501,-1.06692,10.3235,-124.642
-0.055,0.03,0.472498,-0.924747,34.4715,-124.586
-0.05,0.03,0.561494,-0.772702,56.917,-120.479
-0.045,0.03,0.603162,-0.627094,76.9907,-113.268
-0.04,0.03,0.604449,-0.490732,94.3407,-103.994
-0.035,0.03,0.572643,-0.372883,108.809,-93.611
-0.03,0.03,0.515603,-0.276357,120.485,-82.997
-0.025,0.03,0.440306,-0.201412,129.596,-72.8976
-0.02,0.03,0.352515,-0.146387,136.446,-63.9158
-0.015,0.03,0.256692,-0.10827,141.356,-56.515
-0.01,0.03,0.156102,-0.0831621,144.619,-51.0313
-0.005,0.03,0.0530384,-0.0666423,146.471,-47.6889
0,0.03,-0.0508759,-0.054029,147.059,-46.6146
0.005,0.03,-0.156106,-0.0399566,146.444,-47.7364
0.01,0.03,-0.26069,-0.0204109,144.564,-51.1613
0.015,0.03,-0.362053,0.00898597,141.267,-56.7125
0.02,0.03,-0.457935,0.0523097,136.321,-64.163
0.025,0.03,-0.545156,0.113038,129.436,-73.1759
0.03,0.03,-0.619429,0.193736,120.293,-83.2891
0.035,0.03,-0.675296,0.295651,108.595,-93.9037
0.04,0.03,-0.706232,0.418214,94.1141,-104.28
0.045,0.03,-0.704965,0.558487,76.7607,-113.548
0.05,0.03,-0.66408,0.710637,56.6472,-120.737
0.055,0.03,-0.576124,0.864041,34.1281,-124.815
0.06,0.03,-0.439511,1.00909,9.93473,-124.822
0.065,0.03,-0.251078,1.12926,-14.9061,-119.93
0.07,0.03,-0.0144777,1.20693,-39.0341,-109.594
0.075,0.03,0.260406,1.22382,-60.8353,-93.6875
0.08,0.03,0.556512,1.16328,-78.5704,-72.6226
0.085,0.03,0.849447,1.01315,-90.5608,-47.4267
0.09,0.03,1.10849,0.769108,-95.4201,-19.7545
0.095,0.03,1.2991,0.437886,-92.3046,8.19491
0.1,0.03,1.38704,0.0397758,-81.1422,33.8683
-0.1,0.035,-1.71348,0.277342,-75.5427,41.0952
-0.095,0.035,-1.6788,-0.228185,-88.9904,17.253
-0.09,0.035,-1.50711,-0.665148,-94.8449,-9.61429
-0.085,0.035,-1.23933,-1.00419,-92.9197,-37.017
-0.08,0.035,-0.917969,-1.23327,-83.8148,-62.7325
-0.075,0.035,-0.581553,-1.35474,-68.7128,-85.0131
-0.07,0.035,-0.260827,-1.3816,-49.1448,-102.696
-0.065,0.035,0.0222503,-1.33136,-26.7402,-115.198
-0.06,0.035,0.253779,-1.2252,-3.10022,-122.492
-0.055,0.035,0.427715,-1.08364,20.399,-124.971
-0.05,0.035,0.544064,-0.924928,42.6666,-123.334
-0.045,0.035,0.60687,-0.768013,62.9495,-118.44
-0.04,0.035,0.623748,-0.616451,80.7903,-111.247
-0.035,0.035,0.601618,-0.481424,95.9471,-102.679
-0.03,0.035,0.548751,-0.366987,108.416,-93.5952
-0.025,0.035,0.472776,-0.274291,118.34,-84.7432
-0.02,0.035,0.380244,-0.202208,125.951,-76.7385
-0.015,0.035,0.276459,-0.147947,131.511,-70.0639
-0.01,0.035,0.165531,-0.107564,135.271,-65.076
-0.005,0.035,0.0505766,-0.076396,137.432,-62.0168
0,0.035,-0.0659801,-0.0493859,138.127,-61.0251
0.005,0.035,-0.184073,-0.020354,137.406,-62.0558
0.01,0.035,-0.299822,0.0143385,135.22,-65.185
0.015,0.035,-0.410557,0.0599076,131.431,-70.2311
0.02,0.035,-0.513164,0.120645,125.838,-76.9495
0.025,0.035,-0.603569,0.200019,118.196,-84.9826
0.03,0.035,-0.676587,0.300295,108.243,-93.8486
0.035,0.035,-0.725918,0.422072,95.7524,-102.935
0.04,0.035,-0.744335,0.56375,80.5817,-111.499
0.045,0.035,-0.724139,0.720972,62.7335,-118.687
0.05,0.035,-0.657907,0.886143,42.4176,-123.569
0.055,0.035,-0.539165,1.04636,20.0835,-125.181
0.06,0.035,-0.366714,1.19075,-3.45622,-122.656
0.065,0.035,-0.139881,1.30043,-27.1186,-115.301
0.07,0.035,0.134841,1.35638,-49.5262,-102.727
0.075,0.035,0.444027,1.33976,-69.0978,-84.977
0.08,0.035,0.76662,1.23449,-84.1847,-62.6268
0.085,0.035,1.07416,1.03042,-93.2595,-36.8465
0.09,0.035,1.33232,0.726752,-95.1421,-9.38566
0.095,0.035,1.50404,0.335261,-89.2343,17.5318
0.1,0.035,1.55429,-0.117583,-75.7238,41.4151
-0.1,0.04,-1.82237,0.50459,-68.489,48.8804
-0.095,0.04,-1.84814,-0.0448888,-84.3473,27.3477
-0.09,0.04,-1.71802,-0.538603,-93.2066,1.9937
-0.085,0.04,-1.47176,-0.939709,-94.5961,-24.7941
-0.08,0.04,-1.15317,-1.22954,-88.8366,-50.7952
-0.075,0.04,-0.803883,-1.40527,-76.8674,-74.1803
-0.07,0.04,-0.458536,-1.47655,-60.0331,-93.6463
-0.065,0.04,-0.143729,-1.45911,-39.8448,-108.437
-0.06,0.04,0.122733,-1.374,-17.8393,-118.338
-0.055,0.04,0.331397,-1.2426,4.60603,-123.565
-0.05,0.04,0.479661,-1.08468,26.3533,-124.663
-0.045,0.04,0.569147,-0.92096,46.5662,-122.385
-0.04,0.04,0.607582,-0.757356,64.685,-117.582
-0.035,0.04,0.601138,-0.60638,80.3751,-111.13
-0.03,0.04,0.558172,-0.473591,93.5303,-103.859
-0.025,0.04,0.486777,-0.361312,104.2,-96.5059
-0.02,0.04,0.394216,-0.269245,112.533,-89.6913
-0.015,0.04,0.286658,-0.19509,118.724,-83.9123
-0.01,0.04,0.169151,-0.135113,122.971,-79.5428
-0.005,0.04,0.0457839,-0.0846337,125.441,-76.8406
0,0.04,-0.0800417,-0.0384286,126.243,-75.9558
0.005,0.04,-0.207233,0.0102678,125.416,-76.873
0.01,0.04,-0.330356,0.0645759,122.926,-79.632
0.015,0.04,-0.446252,0.130295,118.654,-84.05
0.02,0.04,-0.550827,0.2117,112.435,-89.8668
0.025,0.04,-0.639051,0.31199,104.075,-96.7073
0.03,0.04,-0.704862,0.432849,93.3801,-104.075
0.035,0.04,-0.741236,0.573937,80.2041,-111.352
0.04,0.04,-0.740495,0.732342,64.4983,-117.803
0.045,0.04,-0.69489,0.902058,46.3671,-122.604
0.05,0.04,-0.597499,1.07358,26.1239,-124.882
0.055,0.04,-0.443619,1.23214,4.31701,-123.76
0.06,0.04,-0.232823,1.365,-18.1644,-118.491
0.065,0.04,0.0321922,1.4518,-40.1919,-108.535
0.07,0.04,0.341461,1.47287,-60.3883,-93.6809
0.075,0.04,0.677572,1.40978,-77.2298,-74.1537
0.08,0.04,1.01532,1.24826,-89.1897,-50.7041
0.085,0.04,1.32243,0.981519,-94.9272,-24.6415
0.09,0.04,1.56172,0.613672,-93.5043,2.20447
0.095,0.04,1.6949,0.162678,-84.6004,27.6126
0.1,0.04,1.68793,-0.338052,-68.6853,49.194
-0.1,0.045,-1.87682,0.790652,-59.6532,56.4042
-0.095,0.045,-1.98285,0.209755,-77.8208,37.7391
-0.09,0.045,-1.91562,-0.335075,-89.7503,14.467
-0.085,0.045,-1.71142,-0.798996,-94.6752,-11.1762
-0.08,0.045,-1.41366,-1.15558,-92.6119,-37.0111
-0.075,0.045,-1.06594,-1.39538,-84.2228,-61.1538
-0.07,0.045,-0.706223,-1.52302,-70.6285,-82.1736
-0.065,0.045,-0.365822,-1.55129,-53.1891,-99.1439
-0.06,0.045,-0.0667541,-1.4998,-33.3442,-111.654
-0.055,0.045,0.177506,-1.38985,-12.4469,-119.728
-0.05,0.045,0.36102,-1.24214,8.33548,-123.735
-0.045,0.045,0.482516,-1.07778,28.0912,-124.294
-0.04,0.045,0.548377,-0.907048,46.1659,-122.139
-0.035,0.045,0.563996,-0.742921,62.1294,-118.074
-0.03,0.045,0.537401,-0.592652,75.7688,-112.88
-0.025,0.045,0.47687,-0.460007,87.0324,-107.269
-0.02,0.045,0.390223,-0.345816,95.9783,-101.857
-0.015,0.045,0.284448,-0.248583,102.726,-97.1472
-0.01,0.045,0.165579,-0.165084,107.415,-93.5237
-0.005,0.045,0.0387828,-0.0909074,110.168,-91.2567
0,0.045,-0.0914143,-0.0209391,111.07,-90.5052
0.005,0.045,-0.222091,0.051454,110.148,-91.2862
0.01,0.045,-0.347313,0.129471,107.381,-93.5976
0.015,0.045,-0.462752,0.218787,102.674,-97.2608
0.02,0.045,-0.563246,0.323365,95.9042,-102.004
0.025,0.045,-0.642803,0.445833,86.935,-107.44
0.03,0.045,-0.694572,0.586985,75.6486,-113.067
0.035,0.045,-0.711018,0.745247,61.9879,-118.271
0.04,0.045,-0.68435,0.916147,46.0046,-122.34
0.045,0.045,-0.607244,1.09186,27.9102,-124.497
0.05,0.045,-0.473888,1.26096,8.12246,-123.944
0.055,0.045,-0.28203,1.40747,-12.7107,-119.915
0.06,0.045,-0.0327528,1.51617,-33.6417,-111.803
0.065,0.045,0.267201,1.56643,-53.5107,-99.2445
0.07,0.045,0.603874,1.53889,-70.9657,-82.2172
0.075,0.045,0.955616,1.41676,-84.5712,-61.1397
0.08,0.045,1.2932,1.18896,-92.9576,-36.9346
0.085,0.045,1.58115,0.853489,-95.0071,-11.0378
0.09,0.045,1.7806,0.42069,-90.0567,14.6674
0.095,0.045,1.85368,-0.0843073,-78.0883,38.0011
0.1,0.045,1.76946,-0.620738,-59.8659,56.7246
-0.1,0.05,-1.85685,1.12727,-48.9764,63.1002
-0.095,0.05,-2.06155,0.533731,-69.1726,47.8724
-0.09,0.05,-2.07905,-0.050566,-84.0679,27.314
-0.085,0.05,-1.93961,-0.572817,-92.6023,3.45356
-0.08,0.05,-1.68401,-0.998065,-94.4731,-21.6209
-0.075,0.05,-1.35621,-1.30896,-90.0383,-46.0097
-0.07,0.05,-0.996576,-1.50338,-80.1572,-68.1798
-0.065,0.05,-0.640676,-1.58999,-66.0061,-87.0462
-0.06,0.05,-0.314829,-1.58535,-48.8885,-102.005
-0.055,0.05,-0.0369524,-1.50953,-30.1015,-112.877
-0.05,0.05,0.183037,-1.38331,-10.8166,-119.842
-0.045,0.05,0.341092,-1.22643,7.99915,-123.351
-0.04,0.05,0.439543,-1.05552,25.6011,-124.019
-0.035,0.05,0.483508,-0.882988,41.4727,-122.549
-0.03,0.05,0.480181,-0.717895,55.295,-119.652
-0.025,0.05,0.43764,-0.565668,66.9117,-116
-0.02,0.05,0.364018,-0.428555,76.2859,-112.187
-0.015,0.05,0.266989,-0.306189,83.4556,-108.709
-0.01,0.05,0.153538,-0.196196,88.4946,-105.955
-0.005,0.05,0.029951,-0.0947821,91.4798,-104.2
0,0.05,-0.0980299,0.00272028,92.4675,-103.609
0.005,0.05,-0.224776,0.10145,91.4749,-104.236
0.01,0.05,-0.345233,0.206311,88.4833,-106.025
0.015,0.05,-0.453148,0.321556,83.4319,-108.812
0.02,0.05,-0.542274,0.450495,76.2451,-112.319
0.025,0.05,-0.605728,0.594843,66.8505,-116.158
0.03,0.05,-0.636053,0.754188,55.2108,-119.83
0.035,0.05,-0.625507,0.925457,41.3634,-122.742
0.04,0.05,-0.566631,1.10244,25.4641,-124.221
0.045,0.05,-0.453096,1.27543,7.83049,-123.557
0.05,0.05,-0.280863,1.43121,-11.0196,-120.048
0.055,0.05,-0.0505812,1.55355,-30.3429,-113.065
0.06,0.05,0.233948,1.62421,-49.1639,-102.159
0.065,0.05,0.561642,1.62385,-66.3113,-87.1579
0.07,0.05,0.914245,1.53458,-80.4886,-68.2379
0.075,0.05,1.26591,1.34265,-90.3845,-46.01
0.08,0.05,1.5839,1.04164,-94.8239,-21.5571
0.085,0.05,1.8306,0.635749,-92.9466,3.58428
0.09,0.05,1.96702,0.142671,-84.3921,27.5151
0.095,0.05,1.95785,-0.404668,-69.4595,48.1461
0.1,0.05,1.77769,-0.958263,-49.2045,63.4442
-0.1,0.055,-1.74178,1.49837,-36.5426,68.3426
-0.095,0.055,-2.062,0.917137,-58.2944,57.0338
-0.09,0.055,-2.18536,0.31146,-75.8332,39.8191
-0.085,0.055,-2.13365,-0.258049,-87.8471,18.463
-0.08,0.055,-1.94287,-0.747462,-93.731,-5.10277
-0.075,0.055,-1.6554,-1.13052,-93.5317,-29.0255
-0.07,0.055,-1.3149,-1.39948,-87.7615,-51.7636
-0.065,0.055,-0.959234,-1.55666,-77.352,-72.0824
-0.06,0.055,-0.616869,-1.61228,-63.5095,-89.1417
-0.055,0.055,-0.31071,-1.58346,-47.4433,-102.575
-0.05,0.055,-0.0555434,-1.48977,-30.2956,-112.376
-0.045,0.055,0.139879,-1.35375,-12.9842,-118.829
-0.04,0.055,0.275443,-1.192,3.63752,-122.382
-0.035,0.055,0.353944,-1.01809,18.9653,-123.62
-0.03,0.055,0.381137,-0.842894,32.5812,-123.166
-0.025,0.055,0.36445,-0.673696,44.2274,-121.63
-0.02,0.055,0.312051,-0.514483,53.7704,-119.569
-0.015,0.055,0.232203,-0.366422,61.1639,-117.459
-0.01,0.055,0.132893,-0.228436,66.4124,-115.68
-0.005,0.055,0.0216906,-0.0978259,69.5421,-114.506
0,0.055,-0.0942237,0.029114,70.5781,-114.102
0.005,0.055,-0.21196,0.158184,69.5411,-114.539
0.01,0.055,-0.318795,0.291487,66.4031,-115.744
0.015,0.055,-0.410536,0.433472,61.1448,-117.552
0.02,0.055,-0.479825,0.586293,53.7391,-119.688
0.025,0.055,-0.518987,0.750299,44.1804,-121.773
0.03,0.055,-0.520228,0.923491,32.5146,-123.331
0.035,0.055,-0.476067,1.10104,18.8741,-123.802
0.04,0.055,-0.380021,1.27491,3.51652,-122.576
0.045,0.055,-0.227541,1.43376,-13.14,-119.029
0.05,0.055,-0.0171743,1.56313,-30.489,-112.579
0.055,0.055,0.248163,1.64627,-47.7196,-102.749
0.06,0.055,0.560135,1.66459,-63.8341,-89.2809
0.065,0.055,0.903359,1.6004,-77.695,-72.1878
0.07,0.055,1.25536,1.43864,-88.0972,-51.8462
0.075,0.055,1.58659,1.17002,-93.8908,-29.0482
0.08,0.055,1.86182,0.794189,-94.1311,-5.01272
0.085,0.055,2.04279,0.322725,-88.2454,18.6599
0.09,0.055,2.09243,-0.21859,-76.1939,40.1045
0.095,0.055,1.98037,-0.788931,-58.5942,57.3795
0.1,0.055,1.68932,-1.33378,-36.775,68.7166
-0.1,0.06,-1.51363,1.87907,-22.6197,71.4916
-0.095,0.06,-1.95534,1.3429,-45.2582,64.6019
-0.09,0.06,-2.20037,0.743198,-64.942,51.3799
-0.085,0.06,-2.25894,0.145954,-80.1232,33.2665
