"Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirPhi) []"
10,90,99,-48.8280901948547
10,90,99.5,-48.2390953796857
10,90,100,-47.7429789233729
10,90,100.5,-47.3393428293996
10,90,101,-47.024603864106
10,90,101.5,-46.7937684147182
10,90,102,-46.6412499650526
10,90,102.5,-46.5611689530938
10,90,103,-46.5473624578833
10,90,103.5,-46.5932164125465
10,90,104,-46.6913754643964
10,90,104.5,-46.8333626300684
10,90,105,-47.009143427137
10,90,105.5,-47.2066960865351
10,90,106,-47.4117014402639
10,90,106.5,-47.6075356377427
10,90,107,-47.7758050552054
10,90,107.5,-47.8976391755874
10,90,108,-47.9557702346096
10,90,108.5,-47.9370580400649
10,90,109,-47.8347190313175
10,90,109.5,-47.6494060324505
10,90,110,-47.3886735147262
10,90,110.5,-47.0650684528723
10,90,111,-46.6936244926343
10,90,111.5,-46.2895847743126
10,90,112,-45.8668377062876
10,90,112.5,-45.4371417422555
10,90,113,-45.0099621157601
10,90,113.5,-44.5926730292059
10,90,114,-44.1909187022616
10,90,114.5,-43.8089993904363
10,90,115,-43.4502123803397
10,90,115.5,-43.1171209176536
10,90,116,-42.8117481631573
10,90,116.5,-42.5357045739731
10,90,117,-42.2902609117436
10,90,117.5,-42.0763790359204
10,90,118,-41.8947109433061
10,90,118.5,-41.7455744006018
10,90,119,-41.6289116694642
10,90,119.5,-41.5442366383838
10,90,120,-41.4905754043644
10,90,120.5,-41.4664061612067
10,90,121,-41.4696062329231
10,90,121.5,-41.4974171520752
10,90,122,-41.5464424012242
10,90,122.5,-41.612695833792
10,90,123,-41.6917201520445
10,90,123.5,-41.7787917543545
10,90,124,-41.8692183276389
10,90,124.5,-41.9587176443205
10,90,125,-42.0438422266013
10,90,125.5,-42.1223914032703
10,90,126,-42.1937396573691
10,90,126.5,-42.2590168622605
10,90,127,-42.3211039719811
10,90,127.5,-42.3844489295485
10,90,128,-42.4547469754617
10,90,128.5,-42.5385530948185
10,90,129,-42.6428960903797
10,90,129.5,-42.7749474904545
10,90,130,-42.9417735873889
10,90,130.5,-43.1501744966857
10,90,131,-43.4065953447997
10,90,131.5,-43.7170819908281
10,90,132,-44.0872440967118
10,90,132.5,-44.5221768667025
10,90,133,-45.0262728042985
10,90,133.5,-45.6028177649348
10,90,134,-46.253200271914
10,90,134.5,-46.9754588881759
10,90,135,-47.7617572095497
10,90,135.5,-48.5943000326763
10,90,136,-49.4395295136517
10,90,136.5,-50.2420220697361
